Sun Mar 15 16:19:44 2015,v1large,v2large,diff_large(FRA),,v1small,v2small,diffsmall(FRA),,Sun Mar 15 01:40:33 2015,largev1,largev2,diff_large(ASIA),,small_v1,small_v2,diff_small(ASIA),,,large_v1,large_v2,difflarge(LOC),,Small_v1,Small_v2,diff_small(LOC),,largev1(CA),largev2(CA),difflargeCA,,smallv1CA,smallv2CA,diff
number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,number_of_requests,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,,,mean_request,mean_request,
163,15.848,13.186,2.662,,15.416,12.461,2.955,,163,290.249,266.542,23.707,,292.926,289.807,3.119,,163,48.414,38.272,10.142,,40.907,39.924,0.983,,154.016,148.242,5.774,,146.273,148.615,-2.342
165,16.091,13.695,2.396,,19.091,13.076,6.015,,165,290.043,266.603,23.44,,292.986,289.81,3.176,,165,40.907,40.846,0.061,,42.639,37.701,4.938,,154.27,148.311,5.959,,146.272,148.976,-2.704
167,15.358,14.82,0.538,,17.511,12.144,5.367,,167,290.131,266.567,23.564,,292.846,289.664,3.182,,167,39.735,41.443,-1.708,,43.518,38.886,4.632,,153.728,148.163,5.565,,146.725,148.812,-2.087
169,15.488,14.086,1.402,,16.272,14.116,2.156,,169,290.109,266.464,23.645,,293.348,291.155,2.193,,169,40.8,31.167,9.633,,44.72,40.197,4.523,,153.644,148.709,4.935,,146.809,149.261,-2.452
171,17.664,13.309,4.355,,15.937,13.668,2.269,,171,290.212,266.726,23.486,,292.992,289.855,3.137,,171,40.15,33.651,6.499,,43.985,39.388,4.597,,153.571,148.273,5.298,,146.79,148.739,-1.949
173,16.307,15.861,0.446,,18.273,14.172,4.101,,173,290.286,266.535,23.751,,292.953,290.578,2.375,,173,46.967,35.311,11.656,,45.429,37.263,8.166,,153.577,148.443,5.134,,146.814,148.76,-1.946
175,14.733,17.109,-2.376,,15.301,14.499,0.802,,175,290.588,267.034,23.554,,292.949,289.75,3.199,,175,49.03,37.69,11.34,,44.677,35.699,8.978,,154.088,148.384,5.704,,146.747,149.452,-2.705
177,18.889,15.416,3.473,,15.268,14.027,1.241,,177,290.24,266.588,23.652,,292.968,289.866,3.102,,177,49.339,42.246,7.093,,39.95,35.008,4.942,,153.671,148.765,4.906,,147.003,149.442,-2.439
179,15.973,16.601,-0.628,,14.45,14.342,0.108,,179,290.046,266.39,23.656,,292.786,289.96,2.826,,179,49.716,39.819,9.897,,40.836,32.169,8.667,,153.464,148.258,5.206,,146.819,149.64,-2.821
181,17.381,15.642,1.739,,16.263,14.62,1.643,,181,290.231,266.589,23.642,,293.03,289.661,3.369,,181,49.602,39.01,10.592,,43.182,39.782,3.4,,153.636,148.297,5.339,,146.524,149.537,-3.013
